0,95.0,11.0
1,95.0,11.0
2,95.0,11.0
3,95.0,11.0
4,95.0,11.0
5,95.0,11.0
6,95.0,11.0
7,95.0,11.0
8,95.0,5.75
9,95.0,5.75
10,95.0,4.75
11,95.0,4.75
12,95.0,4.75
13,95.0,4.75
14,95.0,4.75
15,95.0,4.5
16,95.0,4.25
17,95.0,3.75
18,95.0,3.75
19,95.0,3.75
20,95.0,3.75
21,95.0,3.75
22,95.0,3.5000000000000004
23,95.0,3.5000000000000004
24,95.0,3.5000000000000004
25,95.0,3.0
26,95.0,3.0
27,95.0,3.0
28,95.0,3.0
29,95.0,3.0
30,95.0,3.0
31,95.0,3.0
32,95.0,3.0
33,95.0,3.0
34,95.0,3.0
35,95.0,3.0
36,95.0,3.0
37,95.0,3.0
38,95.0,3.0
39,95.0,2.75
40,95.0,2.5
41,95.0,2.5
42,90.0,2.5
43,90.0,2.5
44,90.0,2.5
45,90.0,2.5
46,90.0,2.25
47,85.0,2.0
48,85.0,2.0
49,85.0,2.0
50,60.0,2.0
51,60.0,2.0
52,60.0,2.0
53,60.0,2.0
54,55.00000000000001,1.7500000000000002
55,50.0,1.7500000000000002
56,50.0,1.7500000000000002
57,50.0,1.7500000000000002
58,45.0,1.7500000000000002
59,40.0,1.7500000000000002
60,35.0,1.5
61,35.0,1.5
62,25.0,1.5
63,25.0,1.5
64,15.0,1.5
65,10.0,1.5
66,10.0,1.5
67,10.0,1.5
68,10.0,1.5
69,10.0,1.5
70,10.0,1.5
71,10.0,1.5
72,10.0,1.5
73,10.0,1.5
74,10.0,1.5
75,10.0,1.25
76,10.0,1.25
77,5.0,1.0
78,5.0,1.0
79,5.0,1.0
80,5.0,0.75
81,5.0,0.75
82,5.0,0.75
83,5.0,0.75
84,5.0,0.75
85,5.0,0.75
86,5.0,0.5
87,5.0,0.5
88,5.0,0.5
89,5.0,0.5
90,5.0,0.5
91,5.0,0.5
92,0.0,0.5
93,0.0,0.5
94,0.0,0.5
95,0.0,0.5
96,0.0,0.5
97,0.0,0.5
98,0.0,0.5
99,0.0,0.5
