0,100.0,98.0
1,100.0,3.04
2,100.0,3.04
3,100.0,3.04
4,100.0,3.04
5,100.0,3.04
6,100.0,3.04
7,100.0,3.04
8,100.0,3.04
9,100.0,3.04
10,100.0,3.04
11,100.0,3.04
12,100.0,3.04
13,100.0,3.04
14,100.0,3.04
15,100.0,3.04
16,100.0,3.04
17,100.0,2.7199999999999998
18,100.0,2.7199999999999998
19,100.0,2.7199999999999998
20,100.0,2.7199999999999998
21,100.0,2.32
22,100.0,2.32
23,100.0,2.32
24,100.0,2.32
25,100.0,2.32
26,96.0,1.92
27,96.0,1.92
28,96.0,1.92
29,96.0,1.92
30,96.0,1.92
31,96.0,1.92
32,96.0,1.92
33,96.0,1.92
34,92.0,1.76
35,92.0,1.76
36,92.0,1.76
37,92.0,1.76
38,92.0,1.76
39,92.0,1.76
40,92.0,1.76
41,74.0,1.28
42,74.0,1.28
43,72.0,1.28
44,72.0,1.28
45,70.0,1.28
46,70.0,1.28
47,70.0,1.28
48,70.0,1.28
49,70.0,1.28
50,70.0,1.28
51,57.99999999999999,1.16
52,57.99999999999999,1.16
53,57.99999999999999,1.16
54,57.99999999999999,1.16
55,57.99999999999999,1.16
56,57.99999999999999,1.16
57,57.99999999999999,1.16
58,57.99999999999999,1.16
59,57.99999999999999,1.16
60,57.99999999999999,1.16
61,34.0,0.8
62,34.0,0.8
63,34.0,0.8
64,34.0,0.8
65,34.0,0.8
66,34.0,0.8
67,20.0,0.72
68,20.0,0.72
69,20.0,0.72
70,20.0,0.72
71,20.0,0.72
72,18.0,0.72
73,18.0,0.72
74,18.0,0.72
75,18.0,0.72
76,8.0,0.6
77,8.0,0.6
78,8.0,0.6
79,8.0,0.6
80,8.0,0.6
81,4.0,0.44
82,4.0,0.44
83,4.0,0.44
84,0.0,0.4
85,0.0,0.4
86,0.0,0.4
87,0.0,0.4
88,0.0,0.4
89,0.0,0.4
90,0.0,0.4
91,0.0,0.4
92,0.0,0.4
93,0.0,0.4
94,0.0,0.4
95,0.0,0.4
96,0.0,0.4
97,0.0,0.4
98,0.0,0.4
99,0.0,0.4
