0,100.0,0.5
1,100.0,0.5
2,100.0,0.5
3,100.0,0.5
4,100.0,0.5
5,100.0,0.5
6,100.0,0.25
7,100.0,0.25
8,100.0,0.25
9,100.0,0.25
10,100.0,0.25
11,100.0,0.25
12,100.0,0.25
13,100.0,0.25
14,100.0,0.25
15,100.0,0.25
16,100.0,0.25
17,100.0,0.25
18,100.0,0.25
19,100.0,0.25
20,100.0,0.25
21,100.0,0.25
22,100.0,0.25
23,100.0,0.25
24,100.0,0.25
25,100.0,0.25
26,100.0,0.25
27,100.0,0.25
28,100.0,0.25
29,100.0,0.25
30,95.0,0.25
31,95.0,0.25
32,95.0,0.25
33,95.0,0.25
34,90.0,0.25
35,90.0,0.25
36,90.0,0.25
37,90.0,0.25
38,90.0,0.25
39,85.0,0.25
40,80.0,0.25
41,80.0,0.25
42,70.0,0.25
43,70.0,0.25
44,70.0,0.25
45,70.0,0.25
46,65.0,0.25
47,50.0,0.25
48,50.0,0.25
49,50.0,0.25
50,45.0,0.25
51,45.0,0.25
52,45.0,0.25
53,45.0,0.25
54,45.0,0.25
55,35.0,0.25
56,35.0,0.25
57,35.0,0.25
58,30.0,0.25
59,30.0,0.25
60,15.0,0.25
61,15.0,0.25
62,15.0,0.25
63,15.0,0.25
64,10.0,0.25
65,0.0,0.25
66,0.0,0.25
67,0.0,0.25
68,0.0,0.25
69,0.0,0.25
70,0.0,0.25
71,0.0,0.25
72,0.0,0.25
73,0.0,0.25
74,0.0,0.25
75,0.0,0.25
76,0.0,0.25
77,0.0,0.25
78,0.0,0.25
79,0.0,0.25
80,0.0,0.25
81,0.0,0.25
82,0.0,0.25
83,0.0,0.25
84,0.0,0.25
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
